,lga,hhid,item_desc,sector_name,state_name,expenditure,income,credit
0,115,10001,KEROSENE,URBAN,Abia,750.0,,
4,115,10001,ELECTRICITY,URBAN,Abia,3500.0,,
30,115,10002,KEROSENE,URBAN,Abia,750.0,,
34,115,10002,ELECTRICITY,URBAN,Abia,5000.0,,
38,115,10002,PETROL,URBAN,Abia,15000.0,,
60,115,10003,KEROSENE,URBAN,Abia,3000.0,,
64,115,10003,ELECTRICITY,URBAN,Abia,6500.0,,
90,115,10004,KEROSENE,URBAN,Abia,2500.0,,
94,115,10004,ELECTRICITY,URBAN,Abia,5500.0,,
120,115,10005,KEROSENE,URBAN,Abia,3000.0,,
124,115,10005,ELECTRICITY,URBAN,Abia,5700.0,,
150,115,10008,KEROSENE,URBAN,Abia,1300.0,,
154,115,10008,ELECTRICITY,URBAN,Abia,6500.0,,
158,115,10008,PETROL,URBAN,Abia,8000.0,,
180,105,10009,KEROSENE,RURAL,Abia,300.0,,
184,105,10009,ELECTRICITY,RURAL,Abia,2000.0,,
188,105,10009,PETROL,RURAL,Abia,2500.0,,
214,115,10010,ELECTRICITY,URBAN,Abia,2500.0,,
218,115,10010,PETROL,URBAN,Abia,5000.0,,
240,104,10011,KEROSENE,RURAL,Abia,750.0,,
270,104,10012,KEROSENE,RURAL,Abia,600.0,,
274,104,10012,ELECTRICITY,RURAL,Abia,2500.0,,
300,104,10013,KEROSENE,RURAL,Abia,3000.0,,
304,104,10013,ELECTRICITY,RURAL,Abia,2500.0,,
330,104,10014,KEROSENE,RURAL,Abia,1500.0,,
334,104,10014,ELECTRICITY,RURAL,Abia,2700.0,,
360,104,10015,KEROSENE,RURAL,Abia,300.0,,
364,104,10015,ELECTRICITY,RURAL,Abia,1000.0,,
390,104,10016,KEROSENE,RURAL,Abia,300.0,,
394,104,10016,ELECTRICITY,RURAL,Abia,1000.0,,
398,104,10016,PETROL,RURAL,Abia,10000.0,,
420,104,10017,KEROSENE,RURAL,Abia,400.0,,
424,104,10017,ELECTRICITY,RURAL,Abia,1000.0,,
428,104,10017,PETROL,RURAL,Abia,1500.0,,
450,104,10018,KEROSENE,RURAL,Abia,150.0,,
454,104,10018,ELECTRICITY,RURAL,Abia,1000.0,,
